DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
32K384,P.S. /I.S. 384 Frances E. Carter,2016-17,558,27,46,56,58,68,57,55,68,58,65,0,0,0,0,270,0.484,288,0.516,7,0.013,73,0.131,473,0.848,1,0.002,4,0.007,139,0.249,147,0.263,414,0.742,0.834
32K384,P.S. /I.S. 384 Frances E. Carter,2017-18,513,23,44,50,43,54,66,57,54,64,58,0,0,0,0,249,0.485,264,0.515,4,0.008,62,0.121,443,0.864,2,0.004,2,0.004,135,0.263,137,0.267,455,0.887,0.925
32K384,P.S. /I.S. 384 Frances E. Carter,2018-19,505,29,45,41,42,42,54,69,59,58,66,0,0,0,0,246,0.487,259,0.513,3,0.006,61,0.121,437,0.865,1,0.002,3,0.006,135,0.267,126,0.25,431,0.853,0.892
32K403,Academy for Environmental Leadership,2014-15,340,0,0,0,0,0,0,0,0,0,0,99,100,72,69,164,0.482,176,0.518,6,0.018,68,0.2,261,0.768,1,0.003,4,0.012,87,0.256,110,0.324,241,0.709,0.834
32K403,Academy for Environmental Leadership,2015-16,309,0,0,0,0,0,0,0,0,0,0,71,93,72,73,148,0.479,161,0.521,10,0.032,54,0.175,238,0.77,1,0.003,6,0.019,74,0.239,106,0.343,196,0.634,0.811
32K403,Academy for Environmental Leadership,2016-17,288,0,0,0,0,0,0,0,0,0,0,75,77,68,68,144,0.5,144,0.5,13,0.045,51,0.177,216,0.75,0,0,8,0.028,64,0.222,110,0.382,178,0.618,0.813
32K403,Academy for Environmental Leadership,2017-18,272,0,0,0,0,0,0,0,0,0,0,72,70,69,61,127,0.467,145,0.533,10,0.037,48,0.176,204,0.75,0,0,10,0.037,63,0.232,102,0.375,252,0.926,0.913
32K403,Academy for Environmental Leadership,2018-19,238,0,0,0,0,0,0,0,0,0,0,64,61,60,53,114,0.479,124,0.521,10,0.042,37,0.155,180,0.756,1,0.004,10,0.042,46,0.193,104,0.437,217,0.912,0.884
32K545,EBC High School for Public Service - Bushwick,2014-15,514,0,0,0,0,0,0,0,0,0,0,137,131,123,123,231,0.449,283,0.551,3,0.006,40,0.078,466,0.907,4,0.008,1,0.002,103,0.2,103,0.2,487,0.947,0.838
32K545,EBC High School for Public Service - Bushwick,2015-16,520,0,0,0,0,0,0,0,0,0,0,130,138,122,130,236,0.454,284,0.546,2,0.004,44,0.085,468,0.9,3,0.006,3,0.006,115,0.221,116,0.223,489,0.94,0.824
32K545,EBC High School for Public Service - Bushwick,2016-17,511,0,0,0,0,0,0,0,0,0,0,213,105,126,67,245,0.479,266,0.521,2,0.004,43,0.084,457,0.894,2,0.004,7,0.014,102,0.2,120,0.235,484,0.947,0.84
32K545,EBC High School for Public Service - Bushwick,2017-18,498,0,0,0,0,0,0,0,0,0,0,122,137,116,123,235,0.472,263,0.528,4,0.008,42,0.084,439,0.882,2,0.004,11,0.022,112,0.225,105,0.211,451,0.906,0.919
32K545,EBC High School for Public Service - Bushwick,2018-19,479,0,0,0,0,0,0,0,0,0,0,112,124,124,119,228,0.476,251,0.524,1,0.002,42,0.088,425,0.887,1,0.002,10,0.021,109,0.228,94,0.196,411,0.858,0.902
32K549,The Brooklyn School for Social Justice,2014-15,405,0,0,0,0,0,0,0,0,0,0,106,103,99,97,213,0.526,192,0.474,2,0.005,83,0.205,309,0.763,2,0.005,9,0.022,79,0.195,87,0.215,273,0.674,0.81
32K549,The Brooklyn School for Social Justice,2015-16,385,0,0,0,0,0,0,0,0,0,0,90,109,87,99,198,0.514,187,0.486,3,0.008,80,0.208,293,0.761,2,0.005,7,0.018,77,0.2,96,0.249,266,0.691,0.835
32K549,The Brooklyn School for Social Justice,2016-17,389,0,0,0,0,0,0,0,0,0,0,80,102,98,109,193,0.496,196,0.504,2,0.005,81,0.208,293,0.753,4,0.01,9,0.023,79,0.203,121,0.311,253,0.65,0.845
32K549,The Brooklyn School for Social Justice,2017-18,364,0,0,0,0,0,0,0,0,0,0,54,90,100,120,170,0.467,194,0.533,4,0.011,69,0.19,275,0.755,5,0.014,11,0.03,79,0.217,118,0.324,310,0.852,0.921
