DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
11X096,P.S. 096 Richard Rodgers,880,96,10.9%,25,13,12,61
11X097,P.S. 097 Bronx,522,24,4.6%,s,s,s,13
11X103,P.S. 103 Hector Fontanez,884,93,10.5%,46,34,12,41
11X105,P.S. 105 Sen Abraham Bernstein,919,145,15.8%,22,s,s,121
11X106,P.S. 106 Parkchester,990,127,12.8%,23,14,9,102
11X108,P.S. 108 Philip J. Abinanti,552,29,5.3%,7,s,s,22
11X111,P.S. 111 Seton Falls,517,69,13.3%,23,17,6,41
11X112,P.S. 112 Bronxwood,382,45,11.8%,18,s,s,24
11X121,P.S. 121 Throop,712,63,8.8%,27,12,15,34
11X127,J.H.S. 127 The Castle Hill,908,161,17.7%,32,22,10,125
11X144,J.H.S. 144 Michelangelo,444,43,9.7%,20,12,8,20
11X153,P.S. 153 Helen Keller,540,30,5.6%,s,s,s,25
11X160,P.S. 160 Walt Disney,365,27,7.4%,s,s,s,20
11X169,Baychester Academy,398,31,7.8%,16,6,10,13
11X175,P.S. 175 City Island,286,10,3.5%,6,s,s,s
11X178,P.S. 178 - Dr. Selman Waksman,366,50,13.7%,23,s,s,26
11X180,M.S. 180 Dr. Daniel Hale Williams,993,49,4.9%,9,s,s,40
11X181,I.S. 181 Pablo Casals,861,82,9.5%,23,11,12,57
11X189,Cornerstone Academy for Social Action,334,58,17.4%,28,21,7,21
11X194,P.S./M.S. 194,1206,116,9.6%,17,11,6,97
11X249,Bronx Health Sciences High School,336,32,9.5%,6,s,s,26
11X253,Bronx High School for Writing and Communication Ar,282,29,10.3%,11,s,s,18
11X265,Bronx Lab School,304,40,13.2%,18,9,9,18
11X270,Academy for Scholarship and Entrepreneurship: A Co,367,33,9.0%,15,9,6,16
11X275,High School of Computers and Technology,500,60,12.0%,27,13,14,30
11X287,North Bronx School of Empowerment,435,70,16.1%,26,12,14,37
11X288,Collegiate Institute for Math and Science,586,39,6.7%,9,s,s,28
11X290,Bronx Academy of Health Careers,380,84,22.1%,34,15,19,43
11X299,Astor Collegiate Academy,472,33,7.0%,11,s,s,19
11X326,Bronx Green Middle School,423,61,14.4%,15,s,s,46
11X355,Bronx Alliance Middle School,309,49,15.9%,21,13,8,24
11X357,Young Voices Academy of the Bronx,413,63,15.3%,8,s,s,55
11X370,Leaders of Tomorrow,452,49,10.8%,19,10,9,26
11X418,Bronx High School for the Visual Arts,477,54,11.3%,20,s,s,31
11X444,Home Schooling,574,29,5.1%,9,s,s,20
11X455,Harry S Truman High School,2231,278,12.5%,79,53,26,191
11X462,Cornerstone Academy for Social Action Middle Schoo,239,21,8.8%,10,s,s,7
11X468,Pelham Academy of Academics and Community Engageme,327,39,11.9%,s,s,s,36
11X481,The STEAM Bridge School,281,8,2.8%,s,s,s,6
11X483,The Matilda Avenue School,251,32,12.7%,12,s,s,19
11X498,P.S./M.S. 11X498 - Van Nest Academy,639,33,5.2%,s,s,s,30
11X508,Bronxdale High School,462,21,4.5%,9,s,s,11
11X509,High School of Language and Innovation,392,87,22.2%,10,s,s,73
11X513,New World High School,358,63,17.6%,10,s,s,50
11X514,The Bronxwood Preparatory Academy,374,46,12.3%,20,7,13,24
11X529,One World Middle School at Edenwald,343,18,5.2%,s,s,s,14
11X532,Baychester Middle School,287,36,12.5%,11,s,s,24
11X542,Pelham Preparatory Academy,494,31,6.3%,s,s,s,25
11X544,High School for Contemporary Arts,336,45,13.4%,30,24,6,15
11X545,Bronx Aerospace High School,201,28,13.9%,10,s,s,15
11X556,Bronx Park Middle School,399,76,19.0%,18,8,10,56
11X566,Pelham Gardens Middle School,427,30,7.0%,12,s,s,14
11X567,Linden Tree Elementary School,379,66,17.4%,22,s,s,41
