DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
15K863,Pre-K Center at Bishop Ford School Site,384,s,s,s,s,s,s
15K896,The School of Creativity and Innovation,155,6,3.9%,s,s,s,s
16K005,P.S. 005 Dr. Ronald McNair,216,44,20.4%,24,13,11,18
16K021,P.S. 021 Crispus Attucks,547,68,12.4%,44,s,s,24
16K025,P.S. 025 Eubie Blake School,61,15,24.6%,9,s,s,6
16K026,P.S. 026 Jesse Owens,223,26,11.7%,21,13,8,s
16K035,M.S. 035 Stephen Decatur,195,44,22.6%,26,14,12,17
16K040,P.S. 040 George W. Carver,463,79,17.1%,41,21,20,35
16K057,Whitelaw Reid Academy of Arts and Business,103,33,32.0%,20,12,8,13
16K081,P.S. 081 Thaddeus Stevens,279,90,32.3%,64,47,17,25
16K243,P.S. 243K- The Weeksville School,205,31,15.1%,13,s,s,11
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,166,19,11.4%,14,s,s,s
16K267,"M.S. 267 Math, Science & Technology",199,30,15.1%,15,s,s,12
16K308,P.S. 308 Clara Cardwell,270,73,27.0%,41,21,20,29
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,172,26,15.1%,11,s,s,12
16K335,P.S. 335 Granville T. Woods,199,39,19.6%,26,12,14,11
16K444,Home Schooling,116,17,14.7%,11,s,s,6
16K455,Boys and Girls High School,444,62,14.0%,38,17,21,20
16K498,Brooklyn High School for Law and Technology,613,64,10.4%,31,9,22,24
16K627,Brighter Choice Community School,326,65,19.9%,46,29,17,18
16K628,Brooklyn Brownstone School,328,17,5.2%,7,s,s,9
16K669,Research and Service High School,295,32,10.8%,16,s,s,9
16K681,Madiba Prep Middle School,233,44,18.9%,25,10,15,19
16K688,The Brooklyn Academy of Global Finance,136,14,10.3%,11,s,s,s
16K700,Universal Pre-K C.B.O.,496,30,6.0%,10,s,s,12
16K765,Nelson Mandela High School,167,22,13.2%,12,6,6,6
16K898,The Brooklyn Green School,152,14,9.2%,8,s,s,s
17K002,Parkside Preparatory Academy,424,49,11.6%,11,s,s,38
17K006,Norma Adams Clemons Academy,640,84,13.1%,59,44,15,18
17K012,Dr. Jacqueline Peek-Davis School,206,40,19.4%,19,9,10,21
17K061,M.S. 061 Dr. Gladstone H. Atwell,512,89,17.4%,45,31,14,43
17K091,P.S. 091 The Albany Avenue School,193,21,10.9%,8,s,s,13
17K092,P.S. 092 Adrian Hegeman,330,35,10.6%,15,9,6,20
17K122,Pathways in Technology Early College High School (,614,52,8.5%,27,14,13,19
17K138,P.S. 138 Brooklyn,514,61,11.9%,31,19,12,28
17K161,P.S. 161 The Crown,338,76,22.5%,58,50,8,18
17K181,P.S. 181 Brooklyn,614,54,8.8%,34,23,11,18
17K189,P.S. 189 The Bilingual Center,969,136,14.0%,50,32,18,73
17K191,P.S. 191 Paul Robeson,177,63,35.6%,42,35,7,15
17K221,P.S. 221 Toussaint L'Ouverture,197,38,19.3%,13,s,s,24
17K241,P.S. 241 Emma L. Johnston,401,69,17.2%,12,s,s,54
17K246,M.S. 246 Walt Whitman,376,74,19.7%,23,s,s,51
17K249,P.S. 249 The Caton,824,57,6.9%,8,s,s,48
17K289,P.S. 289 George V. Brower,293,77,26.3%,34,25,9,39
17K316,P.S. 316 Elijah Stroud,568,21,3.7%,6,s,s,s
17K340,I.S. 340,223,20,9.0%,8,s,s,11
17K352,Ebbets Field Middle School,139,16,11.5%,s,s,s,10
17K353,Elijah Stroud Middle School,148,20,13.5%,9,s,s,7
17K354,The School of Integrated Learning,332,46,13.9%,14,7,7,29
17K375,P.S. 375 Jackie Robinson School,261,53,20.3%,18,10,8,34
17K382,Academy for College Preparation and Career Explora,341,70,20.5%,33,17,16,35
17K394,M.S. K394,290,50,17.2%,28,22,6,21
17K397,P.S. 397 Foster-Laurie,163,10,6.1%,7,s,s,s
17K398,P.S. 398 Walter Weaver,222,92,41.4%,22,15,7,63
17K399,P.S. 399 Stanley Eugene Clark,240,62,25.8%,51,43,8,11
17K408,Academy of Hospitality and Tourism,269,41,15.2%,17,10,7,24
17K444,Home Schooling,331,15,4.5%,10,s,s,s
17K484,Ronald Edmonds Learning Center II,179,35,19.6%,15,s,s,20
17K524,International High School at Prospect Heights,332,64,19.3%,10,s,s,48
17K528,The High School for Global Citizenship,236,42,17.8%,14,6,8,26
17K531,"School for Human Rights, The",283,29,10.2%,14,7,7,12
17K532,New Bridges Elementary,432,66,15.3%,18,s,s,47
17K537,High School for Youth and Community Development at,497,59,11.9%,21,10,11,31
17K539,High School for Service & Learning at Erasmus,268,34,12.7%,14,s,s,20
17K543,"Science, Technology and Research Early College Hig",661,34,5.1%,10,s,s,22
17K546,High School for Public Service: Heroes of Tomorrow,521,52,10.0%,24,10,14,23
17K547,Brooklyn Academy of Science and the Environment,331,37,11.2%,13,7,6,22
17K548,Brooklyn School for Music & Theatre,293,37,12.6%,22,11,11,14
17K568,Brownsville Academy High School,100,14,14.0%,8,s,s,s
17K590,Medgar Evers College Preparatory School,1490,75,5.0%,21,11,10,44
17K600,Clara Barton High School,1311,100,7.6%,34,16,18,63
17K646,Aspirations Diploma Plus High School,177,23,13.0%,11,s,s,9
17K700,Universal Pre-K C.B.O.,1394,28,2.0%,20,s,s,7
17K705,Brooklyn Arts and Science Elementary School,312,43,13.8%,21,13,8,20
17K722,New Heights Middle School,249,38,15.3%,13,s,s,22
17K745,Brooklyn Institute for Liberal Arts,522,48,9.2%,9,s,s,36
17K751,Academy for Health Careers,277,29,10.5%,12,s,s,15
17K770,P.S. 770 New American Academy,291,19,6.5%,12,s,s,7
18K066,P.S. 66,684,52,7.6%,26,18,8,21
18K068,I.S. 068 Isaac Bildersee,251,24,9.6%,s,s,s,16
18K114,P.S. 114 Ryder Elementary,447,68,15.2%,29,20,9,28
18K115,P.S. 115 Daniel Mucatel School,860,55,6.4%,6,s,s,44
18K135,P.S. 135 Sheldon A. Brookner,415,33,8.0%,21,s,s,10
18K208,P.S. 208 Elsa Ebeling,310,18,5.8%,12,s,s,6
18K211,I.S. 211 John Wilson,261,42,16.1%,7,s,s,29
18K219,P.S. 219 Kennedy-King,319,35,11.0%,23,13,10,7
18K233,P.S. 233 Langston Hughes,308,23,7.5%,10,s,s,13
18K235,P.S. 235 Janice Marie Knight School,1114,28,2.5%,9,s,s,18
18K244,P.S. 244 Richard R. Green,387,31,8.0%,13,s,s,15
18K268,P.S. 268 Emma Lazarus,296,40,13.5%,32,20,12,8
18K272,P.S. 272 Curtis Estabrook,403,87,21.6%,21,s,s,59
18K276,P.S. 276 Louis Marshall,517,27,5.2%,7,s,s,20
18K279,P.S. 279 Herman Schreiber,285,26,9.1%,6,s,s,19
18K285,I.S. 285 Meyer Levin,763,96,12.6%,28,14,14,62
18K366,The Science And Medicine Middle School,388,51,13.1%,16,9,7,31
18K444,Home Schooling,199,8,4.0%,s,s,s,s
18K563,It Takes a Village Academy,500,52,10.4%,18,12,6,31
18K566,Brooklyn Community High School for Excellence and,204,19,9.3%,s,s,s,14
18K567,Brooklyn Theatre Arts High School,269,23,8.6%,11,s,s,10
18K569,Kurt Hahn Expeditionary Learning School,221,30,13.6%,12,s,s,17
18K576,Victory Collegiate High School,282,17,6.0%,9,s,s,8
18K578,Brooklyn Bridge Academy,161,16,9.9%,7,s,s,9
18K581,"The Middle School of Media, Law and Fine Arts",220,38,17.3%,17,11,6,18
18K588,Middle School for Art and Philosophy,142,20,14.1%,11,s,s,s
18K617,High School for Innovation in Advertising and Medi,209,20,9.6%,7,s,s,11
18K629,Cultural Academy for the Arts and Sciences,210,26,12.4%,16,10,6,8
18K633,High School for Medical Professions,485,47,9.7%,13,s,s,34
18K635,Olympus Academy,189,12,6.3%,s,s,s,6
18K637,Academy for Conservation and the Environment,340,48,14.1%,17,7,10,30
18K642,Urban Action Academy,187,28,15.0%,11,s,s,16
18K673,East Brooklyn Community High School,187,21,11.2%,8,s,s,11
18K700,Universal Pre-K C.B.O.,750,13,1.7%,9,s,s,s
18K763,Brooklyn Science and Engineering Academy,360,20,5.6%,7,s,s,13
19K007,P.S. 007 Abraham Lincoln,738,27,3.7%,8,s,s,17
19K013,P.S. 013 Roberto Clemente,426,67,15.7%,46,s,s,17
19K065,P.S. 065,533,140,26.3%,6,s,s,134
19K089,P.S. 089 Cypress Hills,491,39,7.9%,s,s,s,36
19K108,P.S. 108 Sal Abbracciamento,887,277,31.2%,25,s,s,251
19K149,P.S. 149 Danny Kaye,511,75,14.7%,50,43,7,25
19K158,P.S. 158 Warwick,507,60,11.8%,41,31,10,16
19K159,P.S. 159 Isaac Pitkin,704,48,6.8%,16,10,6,32
19K171,I.S. 171 Abraham Lincoln,344,44,12.8%,s,s,s,41
19K190,P.S. 190 Sheffield,163,29,17.8%,17,11,6,11
19K202,P.S. 202 Ernest S. Jenkyns,307,54,17.6%,36,21,15,15
19K213,P.S. 213 New Lots,247,40,16.2%,24,14,10,14
19K214,P.S. 214 Michael Friedsam,845,65,7.7%,19,s,s,45
19K218,J.H.S. 218 James P. Sinnott,344,64,18.6%,18,12,6,43
19K224,P.S. 224 Hale A. Woodruff,303,23,7.6%,10,s,s,13
19K273,P.S. 273 Wortman,314,54,17.2%,20,s,s,33
19K290,P.S. 290 Juan Morel Campos,396,50,12.6%,15,s,s,35
19K292,J.H.S. 292 Margaret S. Douglas,506,102,20.2%,69,53,16,33
19K306,P.S. 306 Ethan Allen,289,66,22.8%,35,20,15,26
19K325,The Fresh Creek School,145,16,11.0%,11,s,s,s
19K328,P.S. 328 Phyllis Wheatley,308,125,40.6%,111,70,41,9
19K345,P.S. 345 Patrolman Robert Bolden,515,47,9.1%,37,s,s,10
19K346,P.S. 346 Abe Stark,505,47,9.3%,6,s,s,39
19K364,I.S. 364 Gateway,212,27,12.7%,s,s,s,19
19K404,Academy for Young Writers,543,51,9.4%,26,17,9,25
19K409,East New York Family Academy,559,58,10.4%,32,14,18,23
19K422,Spring Creek Community School,525,41,7.8%,24,14,10,15
19K444,Home Schooling,378,33,8.7%,19,11,8,13
19K452,Frederick Douglass Academy VIII Middle School,280,25,8.9%,10,s,s,15
19K502,FDNY - Captain Vernon A. Richard High School for F,266,48,18.0%,32,12,20,15
19K504,High School for Civil Rights,188,39,20.7%,25,13,12,12
19K507,Performing Arts and Technology High School,330,41,12.4%,19,10,9,19
19K510,World Academy for Total Community Health High Scho,177,32,18.1%,11,s,s,20
19K557,Brooklyn Gardens Elementary School,289,83,28.7%,38,28,10,35
19K583,Multicultural High School,294,38,12.9%,9,s,s,28
19K615,Transit Tech Career and Technical Education High S,852,83,9.7%,34,17,17,48
19K618,Academy of Innovative Technology,455,28,6.2%,13,7,6,14
19K639,Brooklyn Lab School,394,37,9.4%,11,s,s,21
19K654,Van Siclen Community Middle School,293,44,15.0%,14,s,s,29
19K659,Cypress Hills Collegiate Preparatory School,376,40,10.6%,10,s,s,29
19K660,W. H. Maxwell Career and Technical Education High,398,55,13.8%,40,20,20,13
19K661,Vista Academy,487,77,15.8%,10,s,s,67
19K662,Liberty Avenue Middle School,562,88,15.7%,26,16,10,58
19K663,School of the Future Brooklyn,119,24,20.2%,13,s,s,11
19K677,East New York Elementary School of Excellence,457,75,16.4%,30,24,6,45
19K678,East New York Middle School of Excellence,250,30,12.0%,14,8,6,14
19K683,School for Classics High School,241,30,12.4%,11,s,s,16
19K700,Universal Pre-K C.B.O.,1429,53,3.7%,35,s,s,16
19K760,Highland Park Community School,375,51,13.6%,s,s,s,47
19K764,The Urban Assembly School for Collaborative Health,349,40,11.5%,11,s,s,29
19K907,Legacy School of the Arts,143,27,18.9%,14,s,s,10
19K938,P.S. 938,61,8,13.1%,s,s,s,7
19K953,The East New York Arts and Civics High School,172,22,12.8%,10,s,s,11
20K030,P.S./I.S. 30 Mary White Ovington,992,37,3.7%,s,s,s,35
20K048,P.S. 048 Mapleton,579,20,3.5%,s,s,s,17
20K062,J.H.S. 062 Ditmas,1147,145,12.6%,9,s,s,131
20K069,P.S. 69 Vincent D. Grippo School,765,10,1.3%,s,s,s,9
20K102,P.S. 102 The Bayview,1322,57,4.3%,s,s,s,52
20K104,P.S./I.S. 104 The Fort Hamilton School,1224,16,1.3%,s,s,s,10
20K105,P.S. 105 The Blythebourne,1377,6,0.4%,s,s,s,s
20K112,P.S. 112 Lefferts Park,730,35,4.8%,s,s,s,33
20K127,P.S. 127 Mckinley Park,531,8,1.5%,s,s,s,6
20K160,P.S. 160 William T. Sampson,1151,40,3.5%,s,s,s,39
20K163,P.S. 163 Bath Beach,634,58,9.1%,s,s,s,56
20K164,P.S. 164 Caesar Rodney,635,51,8.0%,s,s,s,51
20K170,Ralph A. Fabrizio School,1001,125,12.5%,6,s,s,119
20K176,P.S. 176 Ovington,1175,32,2.7%,s,s,s,32
20K179,P.S. 179 Kensington,798,67,8.4%,s,s,s,62
20K180,The SEEALL Academy,1045,32,3.1%,s,s,s,30
20K185,P.S. 185 Walter Kassenbrock,607,6,1.0%,s,s,s,s
20K186,P.S. 186 Dr. Irving A Gladstone,1071,25,2.3%,s,s,s,20
20K187,The Christa McAuliffe School\I.S. 187,990,s,s,s,s,s,s
20K192,P.S. 192 - The Magnet School for Math and Science,643,57,8.9%,s,s,s,56
20K200,P.S. 200 Benson School,1384,42,3.0%,s,s,s,38
20K201,J.H.S. 201 The Dyker Heights,1742,30,1.7%,s,s,s,28
20K204,P.S. 204 Vince Lombardi,1063,18,1.7%,s,s,s,16
20K205,P.S. 205 Clarion,1245,25,2.0%,s,s,s,24
20K220,J.H.S. 220 John J. Pershing,1454,126,8.7%,s,s,s,119
20K223,J.H.S. 223 The Montauk,909,75,8.3%,s,s,s,71
20K227,J.H.S. 227 Edward B. Shallow,1567,74,4.7%,s,s,s,68
20K229,P.S. 229 Dyker,1212,18,1.5%,s,s,s,17
20K247,P.S. 247 Brooklyn,815,13,1.6%,s,s,s,12
20K259,J.H.S. 259 William McKinley,1776,72,4.1%,s,s,s,67
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,443,18,4.1%,s,s,s,18
20K310,The School For Future Leaders,491,s,s,s,s,s,s
20K444,Home Schooling,440,s,s,s,s,s,s
20K445,New Utrecht High School,3591,228,6.3%,15,6,9,210
20K485,High School of Telecommunication Arts and Technolo,1292,40,3.1%,s,s,s,35
20K490,Fort Hamilton High School,4678,233,5.0%,13,7,6,208
20K503,P.S. 503: The School of Discovery,877,260,29.6%,11,s,s,249
20K505,Franklin Delano Roosevelt High School,3333,214,6.4%,17,6,11,180
20K506,P.S. 506: The School of Journalism & Technology,671,80,11.9%,s,s,s,79
20K609,Urban Assembly School for Leadership and Empowerme,592,51,8.6%,s,s,s,46
20K682,The Academy of Talented Scholars,393,10,2.5%,s,s,s,10
20K686,Brooklyn School of Inquiry,525,s,s,s,s,s,s
20K700,Universal Pre-K C.B.O.,2948,36,1.2%,s,s,s,34
20K748,P.S. 748 Brooklyn School for Global Scholars,501,18,3.6%,s,s,s,17
20K768,District 20 Pre-K Center,1130,12,1.1%,s,s,s,8
20K936,MS 936 Arts Off 3rd,154,17,11.0%,s,s,s,17
20K939,Sunset School of Cultural Learning,66,15,22.7%,s,s,s,14
20K971,"School of Math, Science, and Healthy Living",271,6,2.2%,s,s,s,6
21K090,P.S. 90 Edna Cohen School,533,58,10.9%,11,s,s,39
21K095,P.S. 095 The Gravesend,1006,26,2.6%,s,s,s,18
21K096,I.S. 096 Seth Low,830,53,6.4%,7,s,s,44
21K097,P.S. 97 The Highlawn,717,20,2.8%,s,s,s,20
21K098,I.S. 98 Bay Academy,1700,s,s,s,s,s,s
21K099,P.S. 099 Isaac Asimov,852,34,4.0%,s,s,s,31
21K100,P.S. 100 The Coney Island School,703,25,3.6%,s,s,s,21
21K101,P.S. 101 The Verrazano,993,7,0.7%,s,s,s,6
21K121,P.S. 121 Nelson A. Rockefeller,329,30,9.1%,s,s,s,26
21K128,P.S. 128 Bensonhurst,436,6,1.4%,s,s,s,6
21K153,P.S. 153 Homecrest,575,22,3.8%,s,s,s,20
21K177,P.S. 177 The Marlboro,970,38,3.9%,s,s,s,33
21K188,P.S. 188 Michael E. Berdy,327,20,6.1%,18,s,s,s
21K199,P.S. 199 Frederick Wachtel,562,42,7.5%,s,s,s,40
21K209,P.S. 209 Margaret Mead,715,47,6.6%,s,s,s,43
21K212,P.S. 212 Lady Deborah Moody,623,35,5.6%,s,s,s,30
21K215,P.S. 215 Morris H. Weiss,769,28,3.6%,s,s,s,24
21K216,P.S. 216 Arturo Toscanini,726,22,3.0%,s,s,s,19
21K225,P.S. K225 - The Eileen E. Zaglin,1008,35,3.5%,10,s,s,24
21K226,P.S. 226 Alfred De B. Mason,960,62,6.5%,s,s,s,58
21K228,I.S. 228 David A. Boody,1605,64,4.0%,8,s,s,53
21K238,P.S. 238 Anne Sullivan,632,43,6.8%,s,s,s,40
21K239,Mark Twain I.S. 239 for the Gifted & Talented,1331,19,1.4%,s,s,s,18
21K253,P.S. 253,889,69,7.8%,s,s,s,64
21K281,I.S. 281 Joseph B Cavallaro,1220,55,4.5%,6,s,s,47
21K288,P.S. 288 The Shirley Tanyhill,556,31,5.6%,24,s,s,s
21K303,I.S. 303 Herbert S. Eisenberg,535,45,8.4%,s,s,s,39
21K329,P.S. 329 Surfside,373,44,11.8%,18,12,6,25
21K337,International High School at Lafayette,326,132,40.5%,s,s,s,131
21K344,Rachel Carson High School for Coastal Studies,597,18,3.0%,s,s,s,15
21K348,High School of Sports Management,276,34,12.3%,8,s,s,25
21K410,Abraham Lincoln High School,1815,152,8.4%,39,12,27,104
21K444,Home Schooling,389,10,2.6%,6,s,s,s
21K468,Kingsborough Early College School,757,43,5.7%,11,s,s,28
21K525,Edward R. Murrow High School,3645,287,7.9%,23,11,12,261
21K540,John Dewey High School,2260,181,8.0%,39,21,18,133
21K559,Life Academy High School for Film and Music,250,28,11.2%,9,s,s,18
21K572,Leaders High School,395,27,6.8%,6,s,s,20
21K620,William E. Grady Career and Technical Education Hi,510,47,9.2%,18,7,11,28
21K690,Brooklyn Studio Secondary School,976,27,2.8%,s,s,s,23
21K700,Universal Pre-K C.B.O.,1854,24,1.3%,s,s,s,6
21K728,Liberation Diploma Plus,230,26,11.3%,9,s,s,14
21K840,Brooklyn's Daily Discovery Pre-K Center,255,s,s,s,s,s,s
22K014,J.H.S. 014 Shell Bank,544,61,11.2%,15,9,6,41
22K052,P.S. 052 Sheepshead Bay,790,32,4.1%,21,s,s,10
22K078,J.H.S. 078 Roy H. Mann,535,48,9.0%,9,s,s,38
22K109,P.S. 109,537,123,22.9%,98,78,20,25
22K119,P.S. 119 Amersfort,430,31,7.2%,s,s,s,28
22K134,P.S. K134,582,22,3.8%,s,s,s,22
22K139,P.S. 139 Alexine A. Fenty,843,79,9.4%,8,s,s,69
22K152,School of Science & Technology,581,47,8.1%,13,s,s,34
22K193,P.S. 193 Gil Hodges,610,34,5.6%,s,s,s,31
22K194,P.S. 194 Raoul Wallenberg,533,69,12.9%,23,s,s,44
22K195,P.S. 195 Manhattan Beach,422,s,s,s,s,s,s
22K197,P.S. 197 - The Kings Highway Academy,913,84,9.2%,s,s,s,82
22K198,P.S. 198 Brooklyn,332,43,13.0%,21,14,7,22
22K203,P.S. 203 Floyd Bennett School,563,46,8.2%,12,6,6,33
22K206,P.S. 206 Joseph F Lamb,1539,45,2.9%,s,s,s,41
22K207,P.S. 207 Elizabeth G. Leary,1052,11,1.0%,s,s,s,7
22K217,P.S. 217 Colonel David Marcus School,1066,52,4.9%,s,s,s,47
22K222,P.S. 222 Katherine R. Snyder,811,11,1.4%,s,s,s,9
22K234,J.H.S. 234 Arthur W. Cunningham,1464,110,7.5%,s,s,s,106
22K236,P.S. 236 Mill Basin,576,16,2.8%,s,s,s,13
22K240,Andries Hudde,591,103,17.4%,29,15,14,72
22K245,P.S. 245,261,16,6.1%,s,s,s,13
22K251,P.S. 251 Paerdegat,404,36,8.9%,16,s,s,18
22K254,P.S. 254 Dag Hammarskjold,691,9,1.3%,s,s,s,9
22K255,P.S. 255 Barbara Reing School,833,64,7.7%,s,s,s,61
22K277,P.S. 277 Gerritsen Beach,384,s,s,s,s,s,s
22K278,J.H.S. 278 Marine Park,1268,80,6.3%,7,s,s,73
22K312,P.S. 312 Bergen Beach,724,65,9.0%,s,s,s,58
22K315,P.S. K315,575,71,12.3%,18,6,12,48
22K326,P.S. 326,142,s,s,s,s,s,s
22K361,P.S. 361 East Flatbush Early Childhood School,505,86,17.0%,25,13,12,61
22K381,I. S. 381,327,9,2.8%,7,s,s,s
22K405,Midwood High School,4111,208,5.1%,16,8,8,188
22K425,James Madison High School,3888,240,6.2%,17,s,s,214
22K444,Home Schooling,656,20,3.0%,7,s,s,13
22K535,Leon M. Goldstein High School for the Sciences,1032,10,1.0%,s,s,s,8
22K555,Brooklyn College Academy,668,21,3.1%,s,s,s,18
22K611,Origins High School,414,39,9.4%,7,s,s,29
22K630,Professional Pathways High School,207,14,6.8%,s,s,s,9
22K700,Universal Pre-K C.B.O.,1755,17,1.0%,14,8,6,s
22K853,The Joan Snow Pre-K Center,227,6,2.6%,s,s,s,s
22K889,P.S. 889,259,13,5.0%,s,s,s,9
22K890,M.S. 890,296,20,6.8%,s,s,s,16
23K041,P.S. 041 Francis White,298,55,18.5%,31,24,7,24
23K137,P.S./I.S. 137 Rachel Jean Mitchell,175,21,12.0%,11,s,s,10
23K150,P.S. 150 Christopher,165,22,13.3%,15,s,s,6
23K155,P.S./ I.S. 155 Nicholas Herkimer,355,62,17.5%,43,35,8,17
23K156,P.S. 156 Waverly,530,89,16.8%,63,37,26,20
23K165,P.S. 165 Ida Posner,259,52,20.1%,32,23,9,17
23K178,P.S. 178 Saint Clair Mckelway,291,80,27.5%,49,34,15,28
23K184,P.S. 184 Newport,459,87,19.0%,48,23,25,26
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",264,34,12.9%,26,18,8,7
23K298,P.S. 298 Dr. Betty Shabazz,299,64,21.4%,44,28,16,19
23K323,P.S./I.S. 323,514,85,16.5%,69,51,18,11
23K327,P.S. 327 Dr. Rose B. English,269,54,20.1%,36,25,11,18
23K363,Brownsville Collaborative Middle School,270,56,20.7%,32,18,14,18
23K392,I.S. 392,325,27,8.3%,14,s,s,12
23K401,Christopher Avenue Community School,299,99,33.1%,83,60,23,16
23K444,Home Schooling,131,15,11.5%,9,s,s,s
23K446,Riverdale Avenue Community School,324,63,19.4%,38,s,s,25
23K493,Brooklyn Collegiate: A College Board School,369,45,12.2%,29,20,9,14
23K514,Frederick Douglass Academy VII High School,142,21,14.8%,12,s,s,8
23K518,Kappa V (Knowledge and Power Preparatory Academy),133,25,18.8%,10,s,s,12
23K522,Mott Hall IV,133,18,13.5%,8,s,s,8
23K599,Brooklyn Landmark Elementary School,412,50,12.1%,28,18,10,20
23K643,Brooklyn Democracy Academy,142,20,14.1%,11,s,s,6
23K644,Eagle Academy for Young Men II,634,74,11.7%,44,14,30,28
23K647,Metropolitan Diploma Plus High School,210,31,14.8%,22,10,12,6
23K664,Brooklyn Environmental Exploration School (BEES),178,34,19.1%,27,19,8,6
23K668,Riverdale Avenue Middle School,129,27,20.9%,17,s,s,7
23K671,Mott Hall Bridges Academy,203,19,9.4%,11,s,s,s
23K697,Teachers Preparatory High School,160,34,21.3%,24,14,10,8
23K700,Universal Pre-K C.B.O.,595,37,6.2%,20,s,s,17
24Q005,I.S. 5 - The Walter Crowley Intermediate School,1664,83,5.0%,33,27,6,49
24Q007,P.S. 007 Louis F. Simeone,1307,105,8.0%,13,s,s,90
24Q012,P.S. 012 James B. Colgate,1086,138,12.7%,s,s,s,136
24Q013,P.S. 013 Clement C. Moore,1255,240,19.1%,s,s,s,237
24Q014,P.S. 014 Fairview,1320,73,5.5%,s,s,s,64
24Q016,P.S. Q016 The Nancy DeBenedittis School,1309,321,24.5%,s,s,s,315
24Q019,P.S. 019 Marino Jeantet,1733,284,16.4%,s,s,s,279
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,434,31,7.1%,s,s,s,29
24Q049,P.S. 049 Dorothy Bonawit Kole,1188,69,5.8%,s,s,s,69
24Q058,P.S. 58 - The School of Heroes,933,33,3.5%,s,s,s,27
24Q061,I.S. 061 Leonardo Da Vinci,2228,385,17.3%,15,s,s,370
24Q068,P.S. 068 Cambridge,505,38,7.5%,8,s,s,29
24Q071,P.S. 071 Forest,677,19,2.8%,s,s,s,17
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,2149,152,7.1%,8,s,s,140
24Q077,I.S. 077,805,85,10.6%,s,s,s,84
24Q081,P.S. 81Q Jean Paul Richter,629,83,13.2%,s,s,s,77
24Q087,P.S./I.S. 087 Middle Village,580,14,2.4%,s,s,s,11
24Q088,P.S. 088 Seneca,728,25,3.4%,s,s,s,20
24Q089,P.S. 089 Elmhurst,1566,197,12.6%,6,s,s,191
24Q091,P.S. 091 Richard Arkwright,788,24,3.0%,7,s,s,15
24Q093,I.S. 093 Ridgewood,1121,82,7.3%,s,s,s,79
24Q102,P.S. 102 Bayview,1273,127,10.0%,75,67,8,50
24Q110,P.S. 110,990,156,15.8%,s,s,s,149
24Q113,P.S./I.S. 113 Anthony J. Pranzo,855,21,2.5%,s,s,s,20
24Q119,P.S./I.S. 119 The Glendale,1300,77,5.9%,s,s,s,71
24Q125,I.S. 125 Thom J. McCann Woodside,1393,151,10.8%,19,s,s,130
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",862,s,s,s,s,s,s
24Q143,P.S. 143 Louis Armstrong,1373,217,15.8%,39,s,s,178
24Q153,P.S. 153 Maspeth Elem,975,26,2.7%,s,s,s,24
24Q199,P.S. 199 Maurice A. Fitzgerald,625,73,11.7%,31,25,6,42
24Q211,Elm Tree Elementary School,786,309,39.3%,s,s,s,302
24Q229,P.S. 229 Emanuel Kaplan,1298,58,4.5%,26,s,s,31
24Q236,International High School for Health Sciences,268,62,23.1%,s,s,s,61
24Q239,P.S. 239,512,70,13.7%,s,s,s,63
24Q264,Academy of Finance and Enterprise,741,39,5.3%,s,s,s,34
24Q267,High School of Applied Communication,392,16,4.1%,s,s,s,11
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferra,580,19,3.3%,s,s,s,17
24Q293,Civic Leadership Academy,652,25,3.8%,s,s,s,19
24Q296,Pan American International High School,417,85,20.4%,s,s,s,80
24Q299,Bard High School Early College Queens,662,11,1.7%,s,s,s,8
24Q305,Learners and Leaders,537,71,13.2%,s,s,s,70
24Q307,Pioneer Academy,837,88,10.5%,s,s,s,84
24Q311,Corona Arts & Sciences Academy,761,156,20.5%,s,s,s,149
24Q330,Helen M. Marshall School,465,139,29.9%,s,s,s,130
24Q331,Mosaic Pre-K Center,734,60,8.2%,s,s,s,54
24Q343,The Children's Lab School,477,37,7.8%,8,s,s,29
24Q444,Home Schooling,517,17,3.3%,7,s,s,10
24Q455,Newtown High School,1695,162,9.6%,38,21,17,120
24Q485,Grover Cleveland High School,1617,128,7.9%,16,9,7,108
24Q520,Middle College High School at LaGuardia Community,515,17,3.3%,s,s,s,16
24Q530,International High School at LaGuardia Community C,520,98,18.8%,s,s,s,88
24Q550,High School for Arts and Business,753,37,4.9%,10,s,s,27
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",650,27,4.2%,7,s,s,18
24Q585,Maspeth High School,1221,21,1.7%,s,s,s,18
24Q600,Queens Technical High School,1473,64,4.3%,s,s,s,55
24Q610,Aviation Career & Technical Education High School,2212,41,1.9%,s,s,s,35
24Q700,Universal Pre-K C.B.O.,2084,79,3.8%,16,9,7,59
