Year,Report Category,Student Category,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4
2023,Citywide,All Students,450,22.9,25.4,29.7,22.0,51.7
2022,Citywide,All Students,602,22.5,28.5,26.7,22.3,49.0
2019,Citywide,All Students,600,24.6,28.0,27.7,19.7,47.4
2018,Citywide,All Students,601,23.5,29.8,27.7,19.0,46.7
2017,Citywide,All Students,306,25.8,33.6,25.7,14.9,40.6
2016,Citywide,All Students,304,27.1,34.9,25.3,12.7,38.0
2015,Citywide,All Students,298,33.6,36.0,21.0,9.4,30.4
2014,Citywide,All Students,296,34.7,36.8,20.1,8.4,28.4
2013,Citywide,All Students,296,36.4,37.2,19.0,7.4,26.4
