District,Year,Enrolled,Status,Percentage
4,2020,221096.0,Absent Percentage,9.94273980533343
4,2020,200703.0,Absent Percentage,14.420312601206758
5,2018,157647.0,Absent Percentage,9.180637753969311
5,2018,231188.0,Absent Percentage,8.277678772254616
5,2018,188453.0,Absent Percentage,10.807999872647292
5,2018,156838.0,Absent Percentage,10.403091087619073
5,2018,210963.0,Absent Percentage,11.522399662500058
5,2018,146221.0,Absent Percentage,10.056011106475813
5,2018,208830.0,Absent Percentage,10.191064502226691
5,2018,167391.0,Absent Percentage,10.150485987896602
5,2018,230338.0,Absent Percentage,10.840590783978328
5,2018,151293.0,Absent Percentage,18.768217961174674
5,2019,169786.0,Absent Percentage,8.955979880555523
5,2019,200631.0,Absent Percentage,8.558497939002448
5,2019,170927.0,Absent Percentage,10.510334821297981
5,2019,151064.0,Absent Percentage,11.981014669279245
5,2019,202221.0,Absent Percentage,11.586333763555713
5,2019,151243.0,Absent Percentage,11.162169488835847
5,2019,100818.0,Absent Percentage,15.086591680057133
5,2020,90671.0,Absent Percentage,20.66261538970564
5,2020,192991.0,Absent Percentage,18.983268649833413
5,2020,165701.0,Absent Percentage,16.340879053234442
5,2020,156679.0,Absent Percentage,16.89441469501337
5,2020,174965.0,Absent Percentage,16.376418140771012
5,2020,125015.0,Absent Percentage,15.32456105267368
5,2020,184396.0,Absent Percentage,14.576780407384108
5,2020,184172.0,Absent Percentage,15.033229806919618
5,2020,175128.0,Absent Percentage,16.47023891096798
5,2020,159790.0,Absent Percentage,22.389386069215846
6,2018,309963.0,Absent Percentage,7.863196575075089
6,2018,456210.0,Absent Percentage,6.573288617084237
6,2018,373690.0,Absent Percentage,8.130803607268057
6,2018,311292.0,Absent Percentage,8.634336892692392
6,2018,414440.0,Absent Percentage,10.395714699353343
6,2018,290120.0,Absent Percentage,7.981524886253964
6,2018,414374.0,Absent Percentage,7.900109562858673
6,2018,331190.0,Absent Percentage,7.486941030828226
6,2018,455740.0,Absent Percentage,8.122833194365208
6,2018,287726.0,Absent Percentage,13.51007555799615
6,2019,341727.0,Absent Percentage,7.1732698908778065
6,2019,403118.0,Absent Percentage,6.562098442639624
6,2019,342662.0,Absent Percentage,7.354185757393584
6,2019,302309.0,Absent Percentage,8.843269634711504
6,2019,401552.0,Absent Percentage,9.854016416304738
6,2019,302310.0,Absent Percentage,8.086732162349906
6,2019,201850.0,Absent Percentage,12.437948972008918
6,2020,189830.0,Absent Percentage,16.24137386082284
6,2020,401738.0,Absent Percentage,12.851410620852397
6,2020,343757.0,Absent Percentage,11.889503341022873
6,2020,324069.0,Absent Percentage,11.591358630415128
6,2020,361766.0,Absent Percentage,11.40765024905602
6,2020,259979.0,Absent Percentage,9.987345131722178
6,2020,378843.0,Absent Percentage,9.982499346695068
6,2020,378567.0,Absent Percentage,10.099665316839555
6,2020,359411.0,Absent Percentage,9.948220839095075
6,2020,323253.0,Absent Percentage,13.458189096466237
7,2018,269281.0,Absent Percentage,10.289623107460237
7,2018,396825.0,Absent Percentage,9.517797517797517
7,2018,323880.0,Absent Percentage,11.577744843769297
7,2018,269170.0,Absent Percentage,11.652487275699372
7,2018,352050.0,Absent Percentage,13.597500355063202
7,2018,250118.0,Absent Percentage,11.347044195139894
7,2018,356894.0,Absent Percentage,11.534797446860972
7,2018,285460.0,Absent Percentage,10.930778392769565
7,2018,392935.0,Absent Percentage,12.1727512183949
7,2018,242714.0,Absent Percentage,18.70431866311791
7,2019,293269.0,Absent Percentage,9.350118832880392
7,2019,347800.0,Absent Percentage,9.722541690626798
7,2019,296346.0,Absent Percentage,11.112010960161433
7,2019,261096.0,Absent Percentage,12.871127861016637
7,2019,340098.0,Absent Percentage,12.740739433927867
