District,Borough,Year,Present,Absent,Enrolled,Attendance Rate
4,M,2018,185665.0,15051.0,200800.0,0.9246264940239044
4,M,2018,252843.0,22996.0,275977.0,0.9161741739347844
4,M,2018,139972.0,27127.0,171826.0,0.8146147847240813
4,M,2019,195173.0,12565.0,207747.0,0.939474456911532
4,M,2019,229778.0,15699.0,245501.0,0.9359554543566014
4,M,2019,192273.0,16615.0,208907.0,0.920376052501831
4,M,2019,167464.0,17130.0,184616.0,0.90709364302119
4,M,2019,216535.0,23858.0,242967.0,0.8912115637102981
4,M,2019,169360.0,15545.0,184979.0,0.9155633882765072
4,M,2019,107206.0,15291.0,123407.0,0.8687189543542911
4,M,2020,103193.0,13180.0,116373.0,0.8867434886099009
4,M,2020,220192.0,25256.0,245448.0,0.8971024412502852
4,M,2020,188262.0,22779.0,211041.0,0.8920636274467995
4,M,2020,178037.0,20978.0,199015.0,0.8945908599854282
4,M,2020,199764.0,22148.0,221912.0,0.9001946717617795
4,M,2020,143996.0,15048.0,159044.0,0.9053846734237068
4,M,2020,210527.0,22137.0,232666.0,0.9048464322247342
4,M,2020,210035.0,22729.0,232767.0,0.902340108348692
4,M,2020,199105.0,21983.0,221096.0,0.9005364185693092
4,M,2020,170219.0,28942.0,200703.0,0.8481138797128095
5,M,2018,143160.0,14473.0,157647.0,0.908104816457021
5,M,2018,211997.0,19137.0,231188.0,0.916989636140284
5,M,2018,168043.0,20368.0,188453.0,0.8916971340334194
5,M,2018,140490.0,16316.0,156838.0,0.8957650569377319
5,M,2018,177386.0,24308.0,210963.0,0.8408393888975791
5,M,2018,131284.0,14704.0,146221.0,0.8978464105703011
5,M,2018,186186.0,21282.0,208830.0,0.8915673035483408
5,M,2018,150321.0,16991.0,167391.0,0.898023191210997
5,M,2018,205244.0,24970.0,230338.0,0.8910557528501594
5,M,2018,109623.0,28395.0,151293.0,0.7245741706490055
5,M,2019,154558.0,15206.0,169786.0,0.9103106263178354
5,M,2019,183403.0,17171.0,200631.0,0.9141309169570008
5,M,2019,152638.0,17965.0,170927.0,0.8930011057351969
5,M,2019,132911.0,18099.0,151064.0,0.8798323889212519
5,M,2019,170462.0,23430.0,202221.0,0.8429490507909663
5,M,2019,134249.0,16882.0,151243.0,0.8876377749714036
5,M,2019,84824.0,15210.0,100818.0,0.8413576940625682
5,M,2020,71936.0,18735.0,90671.0,0.7933738461029436
5,M,2020,156355.0,36636.0,192991.0,0.8101673135016659
5,M,2020,138614.0,27077.0,165701.0,0.836530859801691
5,M,2020,130209.0,26470.0,156679.0,0.8310558530498663
5,M,2020,146302.0,28653.0,174965.0,0.8361786643042894
5,M,2020,105850.0,19158.0,125015.0,0.8466983961924569
5,M,2020,157512.0,26879.0,184396.0,0.8542050803705069
5,M,2020,156474.0,27687.0,184172.0,0.8496079751536607
5,M,2020,146284.0,28844.0,175128.0,0.8352976108903202
5,M,2020,122711.0,35776.0,159790.0,0.7679516865886477
6,M,2018,285585.0,24373.0,309963.0,0.9213519032916831
6,M,2018,426165.0,29988.0,456210.0,0.9341421713684488
6,M,2018,343257.0,30384.0,373690.0,0.918560839198266
6,M,2018,284386.0,26878.0,311292.0,0.91356668337124
6,M,2018,365442.0,43084.0,414440.0,0.8817729948846637
6,M,2018,266509.0,23156.0,290120.0,0.9186164345787948
6,M,2018,380988.0,32736.0,414374.0,0.9194302731348974
6,M,2018,306333.0,24796.0,331190.0,0.924946405386636
6,M,2018,418429.0,37019.0,455740.0,0.9181309518585158
6,M,2018,237647.0,38872.0,287726.0,0.8259489931393061
6,M,2019,316582.0,24513.0,341727.0,0.9264178715758484
6,M,2019,376054.0,26453.0,403118.0,0.9328633303399996
6,M,2019,316568.0,25200.0,342662.0,0.9238491574787984
6,M,2019,275093.0,26734.0,302309.0,0.909972908514136
6,M,2019,354871.0,39569.0,401552.0,0.8837485556042555
6,M,2019,277320.0,24447.0,302310.0,0.9173365088816116
6,M,2019,175278.0,25106.0,201850.0,0.8683576913549665
6,M,2020,158999.0,30831.0,189830.0,0.8375862613917716
6,M,2020,350102.0,51629.0,401738.0,0.8714684695000224
6,M,2020,302884.0,40871.0,343757.0,0.88109914852643
6,M,2020,286504.0,37564.0,324069.0,0.8840833279332487
6,M,2020,320491.0,41269.0,361766.0,0.8859069122029157
6,M,2020,234012.0,25965.0,259979.0,0.900118855753734
6,M,2020,341021.0,37818.0,378843.0,0.9001644480695169
6,M,2020,340320.0,38234.0,378567.0,0.8989690068072494
6,M,2020,323654.0,35755.0,359411.0,0.9005122269490917
6,M,2020,275999.0,43504.0,323253.0,0.8538172886253182
7,X,2018,241442.0,27708.0,269281.0,0.8966172882602189
7,X,2018,358909.0,37769.0,396825.0,0.9044515844515844
7,X,2018,285960.0,37498.0,323880.0,0.8829195998517969
7,X,2018,237744.0,31365.0,269170.0,0.883248504662481
7,X,2018,298759.0,47870.0,352050.0,0.8486266155375657
7,X,2018,221153.0,28381.0,250118.0,0.8841946601204231
7,X,2018,315107.0,41167.0,356894.0,0.8829148150431221
7,X,2018,253520.0,31203.0,285460.0,0.8881104182722623
7,X,2018,344865.0,47831.0,392935.0,0.8776642447224096
7,X,2018,188301.0,45398.0,242714.0,0.775814332918579
7,X,2019,265823.0,27421.0,293269.0,0.906413565702478
7,X,2019,313927.0,33815.0,347800.0,0.902607820586544
7,X,2019,262849.0,32930.0,296346.0,0.8869665863551389
7,X,2019,227414.0,33606.0,261096.0,0.8709976407145265
7,X,2019,289476.0,43331.0,340098.0,0.8511546671841645
7,X,2019,230263.0,30090.0,260513.0,0.8838829540176498
7,X,2019,142616.0,28922.0,173587.0,0.8215822613444556
7,X,2020,131459.0,32543.0,164002.0,0.8015694930549627
7,X,2020,288561.0,58080.0,346644.0,0.8324419288953508
7,X,2020,248704.0,49159.0,297889.0,0.8348881630405957
7,X,2020,234079.0,46562.0,280653.0,0.8340513017854788
7,X,2020,264257.0,48545.0,312803.0,0.8448032787409328
7,X,2020,191296.0,31247.0,222543.0,0.8595911801314802
7,X,2020,282011.0,46055.0,328066.0,0.8596166625008382
7,X,2020,280978.0,46274.0,327252.0,0.8585982667791182
7,X,2020,267433.0,43092.0,310527.0,0.8612230176441984
7,X,2020,229601.0,47439.0,284394.0,0.807334191297988
8,X,2018,357631.0,36840.0,394596.0,0.9063219089904612
8,X,2018,531257.0,48690.0,580155.0,0.9157156277201782
8,X,2018,422605.0,52400.0,475194.0,0.889331515128558
8,X,2018,354316.0,41179.0,395568.0,0.895714516846661
8,X,2018,454666.0,65486.0,524956.0,0.8661030638758296
8,X,2018,328586.0,39396.0,368582.0,0.8914868333233853
8,X,2018,468241.0,56585.0,525551.0,0.8909525431404374
8,X,2018,378409.0,42046.0,420798.0,0.8992652056331066
8,X,2018,514810.0,64142.0,579280.0,0.8887066703493992
8,X,2018,290990.0,64379.0,362879.0,0.801892641899917
8,X,2019,399462.0,37609.0,437144.0,0.9137995717658256
8,X,2019,469148.0,45586.0,514805.0,0.9113120501937628
8,X,2019,392510.0,44643.0,437584.0,0.8969934915353395
8,X,2019,341151.0,44909.0,386131.0,0.883511036409923
8,X,2019,447421.0,57845.0,513781.0,0.8708399103898353
8,X,2019,345689.0,39292.0,385383.0,0.8970011650747438
8,X,2019,216901.0,38381.0,257267.0,0.8430968604601445
8,X,2020,195594.0,45033.0,240633.0,0.8128311578212465
8,X,2020,449772.0,60106.0,509879.0,0.882115168500762
8,X,2020,392051.0,45765.0,437821.0,0.8954595599571514
8,X,2020,372651.0,40530.0,413189.0,0.9018899341463592
8,X,2020,416361.0,44949.0,461310.0,0.9025622683228198
8,X,2020,302629.0,29043.0,331673.0,0.9124318229099144
8,X,2020,440105.0,42715.0,482820.0,0.9115301768775111
8,X,2020,438343.0,43925.0,482268.0,0.9089199366327436
8,X,2020,415779.0,42592.0,458379.0,0.9070638052790376
8,X,2020,352918.0,57358.0,416740.0,0.8468541536689542
9,X,2018,436128.0,46885.0,483113.0,0.902745320452979
9,X,2018,652556.0,57090.0,709784.0,0.9193726542159304
9,X,2018,518542.0,60419.0,579111.0,0.8954103790119683
9,X,2018,434807.0,47346.0,482269.0,0.9015860443030757
9,X,2018,555741.0,78428.0,647776.0,0.857921565479425
9,X,2018,405743.0,42965.0,449275.0,0.9031061154081576
9,X,2018,579263.0,60556.0,640940.0,0.9037710238087808
9,X,2018,464230.0,48329.0,512735.0,0.9053994753625167
9,X,2018,631590.0,71705.0,703715.0,0.897508224210085
9,X,2018,359448.0,76891.0,454638.0,0.7906246288255712
9,X,2019,478368.0,44959.0,523421.0,0.9139258837532312
9,X,2019,568044.0,48448.0,616565.0,0.9213043231451672
9,X,2019,476827.0,47090.0,524270.0,0.9095065519674976
9,X,2019,414176.0,48179.0,462457.0,0.8955989421719208
9,X,2019,540563.0,68025.0,620977.0,0.8705040605368637
9,X,2019,420598.0,43446.0,464156.0,0.9061565508148124
9,X,2019,266306.0,40728.0,309397.0,0.8607258635345527
9,X,2020,237298.0,50511.0,287849.0,0.8243836177996102
9,X,2020,522939.0,85723.0,608723.0,0.8590754743947575
9,X,2020,461989.0,60004.0,522040.0,0.8849685847827753
9,X,2020,438475.0,53980.0,492481.0,0.8903389166282557
9,X,2020,490363.0,59228.0,549594.0,0.8922277171875966
9,X,2020,355667.0,38414.0,394097.0,0.9024859362035236
9,X,2020,522381.0,54031.0,576420.0,0.9062506505672948
9,X,2020,520205.0,56061.0,576280.0,0.9026948705490386
9,X,2020,495018.0,52869.0,547909.0,0.9034675466181428
9,X,2020,424725.0,66835.0,497539.0,0.8536516735371499
10,X,2018,712351.0,61354.0,773940.0,0.9204214797012688
10,X,2018,1059616.0,75230.0,1135015.0,0.9335700409245692
10,X,2018,846704.0,80724.0,927627.0,0.912763427541458
10,X,2018,706173.0,64910.0,771339.0,0.9155157459949516
10,X,2018,897325.0,107555.0,1017406.0,0.8819733714957451
10,X,2018,659999.0,59089.0,719768.0,0.9169607429060476
10,X,2018,943006.0,84454.0,1028362.0,0.9169980998908944
10,X,2018,755486.0,66116.0,821840.0,0.9192616567701742
10,X,2018,1031451.0,98352.0,1130222.0,0.9126092042094384
10,X,2018,579608.0,101544.0,701385.0,0.8263763838690591
10,X,2019,796137.0,57990.0,854236.0,0.9319871791870162
10,X,2019,941274.0,65270.0,1007091.0,0.9346464222200376
10,X,2019,789035.0,66057.0,855617.0,0.9221824718302698
10,X,2019,685932.0,67198.0,753720.0,0.9100620920235633
10,X,2019,881859.0,96960.0,991958.0,0.8890084055978177
10,X,2019,693433.0,59549.0,753133.0,0.920731132482576
10,X,2019,439299.0,59946.0,501907.0,0.8752597592781133
10,X,2020,393676.0,83433.0,477858.0,0.8238346956627283
