District,Year,Attendance Percentage,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject,DBN,Total Enrollment,Economic Need Index,Borough
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M363,306.0,0.46,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M364,350.0,0.579,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M378,250.0,0.8490000000000001,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M448,483.0,0.828,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M450,680.0,0.654,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M458,194.0,0.8540000000000001,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M515,543.0,0.941,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M539,1754.0,0.2689999999999999,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M650,187.0,0.853,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M696,615.0,0.406,Manhattan
01,2018,90.90584564,4283.0,600.0,33.5,19.5,19.5,27.5,46.9,Math,01M839,362.0,0.6659999999999999,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M015,190.0,0.867,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M019,236.0,0.7040000000000001,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M020,464.0,0.784,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M034,296.0,0.95,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M063,229.0,0.784,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M064,236.0,0.916,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M110,396.0,0.627,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M134,245.0,0.946,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M140,372.0,0.933,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M142,329.0,0.902,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M184,707.0,0.6709999999999999,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M188,398.0,0.95,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M292,226.0,0.878,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M315,330.0,0.382,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M332,218.0,0.8170000000000001,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M361,336.0,0.536,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M363,306.0,0.462,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M364,344.0,0.5720000000000001,Manhattan
01,2019,90.96165466,4103.0,605.0,19.4,25.7,26.3,28.6,54.9,ELA,01M378,204.0,0.8540000000000001,Manhattan
