Year,Borough,District,Poverty %,Economic Need Index,High % Poverty,High Economic Need Index
2019,Bronx,10,0.8683058823529415,0.8766352941176475,High,High
2019,Bronx,11,0.8228064516129036,0.8037580645161292,Low,Low
2019,Bronx,12,0.9240869565217392,0.9313913043478261,High,High
2020,Brooklyn,13,0.7109756097560976,0.7079756097560975,Low,Low
2020,Brooklyn,14,0.7642368421052633,0.778921052631579,Low,Low
2020,Brooklyn,15,0.5775399999999999,0.5873200000000002,Low,Low
2020,Brooklyn,16,0.8725652173913041,0.8459565217391305,High,Low
2020,Brooklyn,17,0.8384285714285715,0.8061428571428569,Low,Low
2020,Brooklyn,18,0.8187878787878787,0.7723636363636364,Low,Low
2020,Brooklyn,19,0.9018235294117648,0.8829607843137252,High,High
2020,Brooklyn,20,0.7753913043478261,0.7501956521739129,Low,Low
2020,Brooklyn,21,0.7659512195121952,0.7817560975609754,Low,Low
2020,Brooklyn,22,0.7054390243902439,0.6640487804878048,Low,Low
2020,Brooklyn,23,0.9060357142857142,0.9036785714285713,High,High
2020,Brooklyn,32,0.8810370370370367,0.8769629629629629,High,High
2020,Manhattan,1,0.7277037037037039,0.7462962962962961,Low,Low
2020,Manhattan,2,0.569470588235294,0.5775966386554625,Low,Low
2020,Manhattan,3,0.5910909090909092,0.6011363636363637,Low,Low
2020,Manhattan,4,0.8317241379310343,0.8452758620689653,Low,Low
2020,Manhattan,5,0.8534285714285714,0.8630357142857141,Low,High
2020,Manhattan,6,0.8501304347826089,0.8386086956521741,Low,Low
2020,Queens,24,0.776732142857143,0.7435892857142857,Low,Low
2020,Queens,25,0.6976595744680852,0.6383191489361701,Low,Low
2020,Queens,26,0.5152647058823528,0.4473235294117646,Low,Low
2020,Queens,27,0.7786249999999999,0.7265625000000002,Low,Low
2020,Queens,28,0.6930392156862746,0.6483725490196077,Low,Low
2020,Queens,29,0.7433191489361702,0.6630851063829789,Low,Low
2020,Queens,30,0.7144901960784312,0.6854313725490196,Low,Low
2020,Staten Island,31,0.6122328767123287,0.575068493150685,Low,Low
2020,Bronx,7,0.9160243902439025,0.924390243902439,High,High
2020,Bronx,8,0.8578627450980393,0.8609215686274511,Low,Low
2020,Bronx,9,0.9253000000000002,0.9330428571428574,High,High
2020,Bronx,10,0.8675058823529413,0.8752470588235299,High,High
2020,Bronx,11,0.8298709677419358,0.8033870967741936,Low,Low
2020,Bronx,12,0.9248085106382977,0.931446808510638,High,High
2021,Brooklyn,13,0.6868292682926831,0.690268292682927,Low,Low
2021,Brooklyn,14,0.741421052631579,0.7649999999999999,Low,Low
2021,Brooklyn,15,0.56436,0.57464,Low,Low
2021,Brooklyn,16,0.8333478260869565,0.8337391304347826,Low,Low
2021,Brooklyn,17,0.8200816326530613,0.790448979591837,Low,Low
2021,Brooklyn,18,0.7968484848484847,0.7450303030303032,Low,Low
2021,Brooklyn,19,0.881346153846154,0.8655769230769228,High,High
2021,Brooklyn,20,0.7667608695652174,0.7364130434782609,Low,Low
2021,Brooklyn,21,0.7483414634146341,0.7645365853658538,Low,Low
2021,Brooklyn,22,0.7020487804878051,0.6501463414634148,Low,Low
2021,Brooklyn,23,0.9061428571428569,0.8991428571428572,High,High
2021,Brooklyn,32,0.8624814814814814,0.8614444444444445,High,High
2021,Manhattan,1,0.721111111111111,0.7412962962962963,Low,Low
2021,Manhattan,2,0.5614369747899159,0.569571428571429,Low,Low
2021,Manhattan,3,0.5982045454545453,0.5982727272727274,Low,Low
2021,Manhattan,4,0.8241379310344829,0.8407586206896552,Low,Low
2021,Manhattan,5,0.8450357142857143,0.8551785714285713,Low,Low
2021,Manhattan,6,0.8418695652173913,0.8259130434782611,Low,Low
2021,Queens,24,0.7600714285714284,0.7237857142857144,Low,Low
2021,Queens,25,0.6883829787234044,0.625872340425532,Low,Low
2021,Queens,26,0.5202058823529412,0.43864705882352945,Low,Low
2021,Queens,27,0.7647500000000002,0.7038124999999998,Low,Low
2021,Queens,28,0.6773333333333331,0.6302941176470586,Low,Low
2021,Queens,29,0.7332553191489362,0.6481063829787232,Low,Low
2021,Queens,30,0.6802352941176469,0.6583137254901962,Low,Low
2021,Staten Island,31,0.6230958904109588,0.5745890410958904,Low,Low
2021,Bronx,7,0.9177560975609756,0.9224634146341466,High,High
2021,Bronx,8,0.8500000000000002,0.85321568627451,Low,Low
2021,Bronx,9,0.9206857142857146,0.9294428571428575,High,High
2021,Bronx,10,0.8589764705882353,0.8670117647058827,High,High
2021,Bronx,11,0.8264354838709678,0.7967258064516128,Low,Low
2021,Bronx,12,0.9126382978723401,0.9201063829787235,High,High
