Year,Borough,District,Poverty %,Economic Need Index,High % Poverty,High Economic Need Index
2017,Brooklyn,13,0.7567435897435899,0.7293589743589746,Low,Low
2017,Brooklyn,14,0.7751578947368422,0.7897105263157894,Low,Low
2017,Brooklyn,15,0.5873061224489794,0.5897346938775512,Low,Low
2017,Brooklyn,16,0.876318181818182,0.8721363636363637,High,High
2017,Brooklyn,17,0.8547708333333333,0.8026249999999999,Low,Low
2017,Brooklyn,18,0.8166969696969696,0.7397878787878787,Low,Low
2017,Brooklyn,19,0.9002499999999999,0.8795416666666668,High,High
2017,Brooklyn,20,0.7796363636363636,0.7559090909090909,Low,Low
2017,Brooklyn,21,0.7797804878048779,0.7690487804878048,Low,Low
2017,Brooklyn,22,0.7347073170731707,0.6684878048780488,Low,Low
2017,Brooklyn,23,0.913142857142857,0.8942500000000001,High,High
2017,Brooklyn,32,0.9137777777777776,0.8965925925925925,High,High
2017,Manhattan,1,0.7324814814814814,0.7352962962962963,Low,Low
2017,Manhattan,2,0.5771596638655463,0.5684957983193277,Low,Low
2017,Manhattan,3,0.6018181818181818,0.6009545454545455,Low,Low
2017,Manhattan,4,0.8329655172413791,0.8396896551724138,Low,Low
2017,Manhattan,5,0.8495555555555555,0.852185185185185,Low,Low
2017,Manhattan,6,0.8665,0.8453695652173915,High,Low
2017,Queens,24,0.7895357142857147,0.7320535714285717,Low,Low
2017,Queens,25,0.7046086956521738,0.6196739130434782,Low,Low
2017,Queens,26,0.5395151515151515,0.422939393939394,Low,Low
2017,Queens,27,0.7918095238095239,0.7083650793650793,Low,Low
2017,Queens,28,0.7269999999999999,0.6366078431372548,Low,Low
2017,Queens,29,0.7642127659574468,0.631659574468085,Low,Low
2017,Queens,30,0.7332244897959184,0.7001632653061225,Low,Low
2017,Staten Island,31,0.6031917808219177,0.543808219178082,Low,Low
2017,Bronx,7,0.9180749999999996,0.920825,High,High
2017,Bronx,8,0.8514313725490197,0.8422352941176472,Low,Low
2017,Bronx,9,0.9205882352941179,0.9268382352941181,High,High
2017,Bronx,10,0.8699294117647061,0.8685176470588241,High,High
2017,Bronx,11,0.8141451612903225,0.7764032258064517,Low,Low
2017,Bronx,12,0.9226000000000001,0.9233111111111107,High,High
2018,Brooklyn,13,0.7414749999999999,0.7205999999999999,Low,Low
2018,Brooklyn,14,0.7590789473684211,0.7804210526315788,Low,Low
2018,Brooklyn,15,0.5803599999999998,0.5845599999999999,Low,Low
2018,Brooklyn,16,0.8699130434782608,0.8611304347826089,High,High
2018,Brooklyn,17,0.8336326530612246,0.7987551020408166,Low,Low
2018,Brooklyn,18,0.8053636363636363,0.7466363636363637,Low,Low
2018,Brooklyn,19,0.8990612244897961,0.8742040816326531,High,High
2018,Brooklyn,20,0.772159090909091,0.7510909090909091,Low,Low
2018,Brooklyn,21,0.7617073170731707,0.7674878048780488,Low,Low
2018,Brooklyn,22,0.717390243902439,0.6650243902439025,Low,Low
2018,Brooklyn,23,0.9032499999999999,0.8890714285714286,High,High
2018,Brooklyn,32,0.9041111111111109,0.8839999999999998,High,High
2018,Manhattan,1,0.7183333333333335,0.7328148148148149,Low,Low
2018,Manhattan,2,0.5666638655462185,0.5645714285714287,Low,Low
2018,Manhattan,3,0.5964090909090909,0.5949545454545453,Low,Low
2018,Manhattan,4,0.8233103448275861,0.8371034482758621,Low,Low
2018,Manhattan,5,0.8421111111111111,0.8531481481481481,Low,Low
2018,Manhattan,6,0.8605434782608697,0.8413695652173914,High,Low
2018,Queens,24,0.7665000000000001,0.7246785714285714,Low,Low
2018,Queens,25,0.6888510638297872,0.6174893617021276,Low,Low
2018,Queens,26,0.5197272727272727,0.4236969696969697,Low,Low
2018,Queens,27,0.769046875,0.7009687499999999,Low,Low
2018,Queens,28,0.7096666666666668,0.6336666666666667,Low,Low
2018,Queens,29,0.7453617021276595,0.6300425531914896,Low,Low
2018,Queens,30,0.7049600000000001,0.6842400000000002,Low,Low
2018,Staten Island,31,0.606082191780822,0.55086301369863,Low,Low
2018,Bronx,7,0.9097250000000001,0.9195499999999995,High,High
2018,Bronx,8,0.8424901960784317,0.843294117647059,Low,Low
2018,Bronx,9,0.9212571428571432,0.9284000000000002,High,High
2018,Bronx,10,0.8626000000000003,0.8655529411764707,High,High
2018,Bronx,11,0.8037096774193548,0.7787096774193549,Low,Low
2018,Bronx,12,0.9178260869565219,0.922478260869565,High,High
2019,Brooklyn,13,0.7220243902439025,0.7144878048780487,Low,Low
2019,Brooklyn,14,0.7626052631578947,0.7878421052631578,Low,Low
2019,Brooklyn,15,0.57652,0.5929399999999999,Low,Low
2019,Brooklyn,16,0.854,0.8641739130434783,Low,High
2019,Brooklyn,17,0.8327346938775514,0.813938775510204,Low,Low
2019,Brooklyn,18,0.8093030303030304,0.7746969696969697,Low,Low
2019,Brooklyn,19,0.9004285714285716,0.8874489795918368,High,High
2019,Brooklyn,20,0.7702499999999998,0.7645909090909092,Low,Low
2019,Brooklyn,21,0.7750731707317073,0.787609756097561,Low,Low
2019,Brooklyn,22,0.7133902439024389,0.6802195121951218,Low,Low
2019,Brooklyn,23,0.9048571428571428,0.9016071428571427,High,High
2019,Brooklyn,32,0.8932962962962961,0.8877407407407408,High,High
2019,Manhattan,1,0.7280370370370369,0.7459629629629627,Low,Low
2019,Manhattan,2,0.5646050420168068,0.5788235294117646,Low,Low
2019,Manhattan,3,0.5814545454545456,0.6054772727272726,Low,Low
2019,Manhattan,4,0.8293793103448277,0.850551724137931,Low,Low
2019,Manhattan,5,0.8492222222222222,0.8591111111111113,Low,Low
