DBN_,Economic Need Index_2019-20,Economic Need Index_2020-21,Economic Need Index_2021-22,Total Enrollment_2019-20,Total Enrollment_2020-21,Total Enrollment_2021-22,District_,Borough_
28Q686,0.48200000000000004,0.47600000000000003,0.45899999999999996,1144.0,1065.0,1033.0,28,Q
28Q687,0.507,0.498,0.511,480.0,511.0,520.0,28,Q
28Q690,0.732,0.7559999999999999,0.773,395.0,395.0,373.0,28,Q
28Q896,0.626,0.626,0.631,560.0,579.0,554.0,28,Q
29Q015,0.696,0.6990000000000001,0.6890000000000001,392.0,358.0,355.0,29,Q
29Q033,0.63,0.594,0.5710000000000001,945.0,891.0,789.0,29,Q
29Q034,0.715,0.72,0.659,572.0,540.0,504.0,29,Q
29Q035,0.745,0.715,0.7040000000000001,691.0,651.0,564.0,29,Q
29Q036,0.743,0.7509999999999999,0.722,357.0,333.0,290.0,29,Q
29Q037,0.779,0.782,0.735,353.0,288.0,279.0,29,Q
29Q038,0.5379999999999999,0.61,0.605,269.0,245.0,253.0,29,Q
29Q052,0.79,0.8109999999999999,0.805,376.0,336.0,288.0,29,Q
29Q059,0.6809999999999999,0.672,0.6609999999999999,577.0,515.0,444.0,29,Q
29Q095,0.784,0.785,0.762,1435.0,1403.0,1220.0,29,Q
29Q109,0.613,0.633,0.633,1175.0,1121.0,1003.0,29,Q
29Q116,0.8240000000000001,0.835,0.784,827.0,805.0,774.0,29,Q
29Q118,0.7509999999999999,0.757,0.687,427.0,409.0,380.0,29,Q
29Q131,0.68,0.6859999999999999,0.69,703.0,684.0,658.0,29,Q
29Q132,0.638,0.642,0.638,323.0,325.0,309.0,29,Q
29Q134,0.7879999999999999,0.787,0.737,322.0,286.0,299.0,29,Q
29Q135,0.632,0.638,0.631,882.0,790.0,743.0,29,Q
29Q136,0.7290000000000001,0.682,0.654,507.0,488.0,452.0,29,Q
29Q138,0.677,0.6990000000000001,0.677,623.0,588.0,619.0,29,Q
29Q147,0.621,0.618,0.634,559.0,502.0,417.0,29,Q
29Q156,0.612,0.67,0.655,197.0,154.0,166.0,29,Q
29Q176,0.43700000000000006,0.418,0.39399999999999996,723.0,660.0,638.0,29,Q
29Q181,0.675,0.7070000000000001,0.6779999999999999,322.0,286.0,302.0,29,Q
29Q192,0.674,0.71,0.6859999999999999,469.0,410.0,387.0,29,Q
29Q195,0.624,0.611,0.631,468.0,416.0,355.0,29,Q
29Q208,0.387,0.41700000000000004,0.428,742.0,727.0,657.0,29,Q
29Q238,0.7490000000000001,0.752,0.7509999999999999,1245.0,1132.0,1023.0,29,Q
29Q243,0.701,0.682,0.65,449.0,470.0,459.0,29,Q
29Q248,0.7170000000000001,0.684,0.726,277.0,238.0,230.0,29,Q
29Q251,0.645,0.61,0.581,334.0,299.0,266.0,29,Q
29Q259,0.556,0.579,0.5479999999999999,585.0,617.0,628.0,29,Q
29Q265,0.6509999999999999,0.6609999999999999,0.6679999999999999,422.0,401.0,389.0,29,Q
29Q268,0.7440000000000001,0.767,0.767,645.0,628.0,596.0,29,Q
29Q270,0.451,0.466,0.48700000000000004,758.0,698.0,676.0,29,Q
29Q272,0.647,0.688,0.677,390.0,345.0,354.0,29,Q
29Q283,0.593,0.585,0.545,557.0,541.0,528.0,29,Q
29Q289,0.601,0.547,0.573,178.0,174.0,187.0,29,Q
29Q295,0.631,0.605,0.611,524.0,533.0,516.0,29,Q
29Q313,0.7,0.675,0.703,413.0,420.0,393.0,29,Q
29Q326,0.606,0.62,0.621,370.0,355.0,362.0,29,Q
29Q327,0.609,0.623,0.657,421.0,422.0,425.0,29,Q
29Q355,0.691,0.71,0.6940000000000001,338.0,393.0,371.0,29,Q
29Q356,0.728,0.753,0.7290000000000001,340.0,319.0,319.0,29,Q
29Q360,0.483,0.436,0.42700000000000005,271.0,325.0,316.0,29,Q
29Q381,0.733,0.6659999999999999,0.499,194.0,172.0,277.0,29,Q
29Q492,0.753,0.726,0.7190000000000001,401.0,348.0,381.0,29,Q
29Q498,0.726,0.6809999999999999,0.6779999999999999,372.0,393.0,447.0,29,Q
30Q002,0.659,0.655,0.603,533.0,501.0,517.0,30,Q
30Q010,0.826,0.841,0.8190000000000001,799.0,762.0,743.0,30,Q
30Q011,0.69,0.711,0.6759999999999999,924.0,820.0,743.0,30,Q
30Q017,0.774,0.752,0.7170000000000001,591.0,574.0,546.0,30,Q
30Q069,0.657,0.68,0.664,963.0,870.0,819.0,30,Q
30Q070,0.748,0.723,0.688,811.0,803.0,784.0,30,Q
30Q076,0.871,0.8590000000000001,0.813,421.0,402.0,393.0,30,Q
30Q078,0.20800000000000002,0.21,0.203,748.0,678.0,699.0,30,Q
30Q084,0.556,0.535,0.48,258.0,275.0,280.0,30,Q
30Q085,0.461,0.46299999999999997,0.45399999999999996,654.0,584.0,568.0,30,Q
30Q092,0.847,0.845,0.779,898.0,845.0,837.0,30,Q
30Q111,0.95,0.95,0.9440000000000001,328.0,329.0,295.0,30,Q
30Q112,0.885,0.863,0.8029999999999999,412.0,394.0,398.0,30,Q
30Q122,0.513,0.53,0.523,1365.0,1261.0,1164.0,30,Q
30Q126,0.7859999999999999,0.8140000000000001,0.7959999999999999,625.0,582.0,470.0,30,Q
30Q127,0.785,0.773,0.723,1212.0,1109.0,1057.0,30,Q
30Q141,0.622,0.64,0.609,1179.0,1166.0,1103.0,30,Q
30Q145,0.831,0.8370000000000001,0.826,1660.0,1602.0,1559.0,30,Q
